# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
3.7622495775458301e-09 7.1837750088166175e-04 2.0594513033139852e-12
3.8702577983298913e-09 7.3339822451190528e-04 2.1309001159834504e-12
3.9813667638988169e-09 7.4845160704084535e-04 2.2003391770014090e-12
4.0956654917195283e-09 7.6380191181146806e-04 2.2663840465247362e-12
4.2132455548092991e-09 7.7960422858480705e-04 2.3421838749643152e-12
4.3342011551015468e-09 7.9554381099344873e-04 2.4253440554047300e-12
4.4586291989178473e-09 8.1154385888582148e-04 2.5134537993844146e-12
4.5866293746066464e-09 8.2764006651858679e-04 2.6058748749373593e-12
4.7183042324108255e-09 8.4387737841473687e-04 2.7024486951738879e-12
4.8537592666281511e-09 8.6021197708063823e-04 2.8030676505484328e-12
4.9931030001304424e-09 8.7665328429586964e-04 2.9077740291742439e-12
5.1364470713091096e-09 8.9325507796278458e-04 3.0167234887042846e-12
5.2839063235167972e-09 9.0998426043120695e-04 3.1299738197509938e-12
5.4355988970767290e-09 9.2682065675431247e-04 3.2476201571465827e-12
5.5916463239335159e-09 9.4381985971558890e-04 3.3698845559992518e-12
5.7521736250212200e-09 9.6097314346543783e-04 3.4969002370026564e-12
5.9173094104267220e-09 9.7823669493402043e-04 3.6287452164017931e-12
6.0871859824285909e-09 9.9565772505227912e-04 3.7656703267330430e-12
6.2619394414940734e-09 1.0132548290788801e-03 3.9078901041716102e-12
6.4417097953190569e-09 1.0309703718978103e-03 4.0554773038207295e-12
6.6266410709984126e-09 1.0488335490790313e-03 4.2086806711625251e-12
6.8168814304165662e-09 1.0668864499594477e-03 4.3677921758367396e-12
7.0125832889507580e-09 1.0850731851099749e-03 4.5329043756969157e-12
7.2139034375820660e-09 1.1033970648033353e-03 4.7042396180516679e-12
7.4210031685120698e-09 1.1219147242440553e-03 4.8821558241989126e-12
7.6340484043857377e-09 1.1405877784009810e-03 5.0668032089164452e-12
7.8532098312241374e-09 1.1593901449893362e-03 5.2583610908704266e-12
8.0786630351733815e-09 1.1783814674279913e-03 5.4572320676136727e-12
8.3105886431794900e-09 1.1975520735192369e-03 5.6636611370236090e-12
8.5491724677017202e-09 1.2168499529880972e-03 5.8777842603671827e-12
8.7946056555804677e-09 1.2363258025163137e-03 6.1000206436132360e-12
9.0470848411788629e-09 1.2560013419979921e-03 6.3307317993261102e-12
9.3068123039208741e-09 1.2758106265404745e-03 6.5700359858882271e-12
9.5739961303520267e-09 1.2957840332630255e-03 6.8183353999136170e-12
9.8488503808526925e-09 1.3159695558211393e-03 7.0761091891733522e-12
1.0131595261137380e-08 1.3363046451217997e-03 7.3435077369004814e-12
1.0422457298677562e-08 1.3567904300171296e-03 7.6208829198293411e-12
1.0721669524189280e-08 1.3774906197598913e-03 7.9088130687354856e-12
1.1029471658330994e-08 1.3983634806662426e-03 8.2075435404747992e-12
1.1346110303761218e-08 1.4193772764161672e-03 8.5173532621427534e-12
1.1671839142709845e-08 1.4405983323828586e-03 8.8388853576605001e-12
1.2006919140221381e-08 1.4620177217479213e-03 9.1725378208392779e-12
1.2351618753233057e-08 1.4835752868689323e-03 9.5185198277897547e-12
1.2706214145655152e-08 1.5053264710700454e-03 9.8774940522008627e-12
1.3070989409625998e-08 1.5272974337550149e-03 1.0250042189892844e-11
1.3446236793118808e-08 1.5494136157510052e-03 1.0636347718385149e-11
1.3832256934082791e-08 1.5717068458422911e-03 1.1037039434334062e-11
1.4229359101306055e-08 1.5942319879278521e-03 1.1452880975635712e-11
1.4637861442193309e-08 1.6169196510804618e-03 1.1884110531756814e-11
1.5058091237656856e-08 1.6397684428504089e-03 1.2331270952029817e-11
1.5490385164325135e-08 1.6628498497859301e-03 1.2795275511302409e-11
1.5935089564278829e-08 1.6861188920438419e-03 1.3276515720615213e-11
1.6392560722530680e-08 1.7095374255011730e-03 1.3775414642494030e-11
1.6863165152471274e-08 1.7331785570127156e-03 1.4292985544414697e-11
1.7347279889509614e-08 1.7570316147192955e-03 1.4830159594381693e-11
1.7845292793143519e-08 1.7810276416683202e-03 1.5387419407646695e-11
1.8357602857702118e-08 1.8052286090797232e-03 1.5965817811499830e-11
1.8884620532009143e-08 1.8296672821722648e-03 1.6566305139501581e-11
1.9426768048223354e-08 1.8542615336973878e-03 1.7189185444576148e-11
